phone,email,address,url,hobby,sum,threshold
266,63,167,78,472,1046,0.54
270,66,170,80,472,1058,0.59
271,70,173,80,472,1066,0.64
273,71,175,80,473,1072,0.69
276,76,176,81,473,1082,0.74
279,82,179,83,476,1099,0.79
285,87,188,88,478,1126,0.84
293,96,209,94,483,1175,0.89
295,102,214,94,484,1189,0.9
297,109,223,96,485,1210,0.91
300,115,233,98,487,1233,0.92
305,126,246,101,488,1266,0.93
308,140,262,104,490,1304,0.94
317,150,289,110,491,1357,0.95
324,174,332,114,492,1436,0.96
334,200,382,120,494,1530,0.97
353,247,442,128,497,1667,0.98
389,321,492,132,498,1832,0.99
